EN	NL
service desk	servicedesk
Service desk	Servicedesk
Service Desk	Servicedesk
action academy	action academy
Action academy	Action academy
Action Academy	Action Academy
action cash register training e-learning course	e-learning action kassatrainer
Action cash register training e-learning course	E-learning action kassatrainer
Action Cash Register Training E-Learning Course	E-Learning Action Kassatrainer
action checkout	action checkout
Action checkout	Action checkout
Action Checkout	Action Checkout
action formula	action formule
Action formula	Action formule
Action Formula	Action Formule
action gift card	action cadeaukaart
Action gift card	Action cadeaukaart
Action Gift Card	Action Cadeaukaart
action management skills	action management competenties
Action management skills	Action management competenties
Action Management Skills	Action Management Competenties
action nederland b.v.	action nederland b.v
Action nederland b.v.	Action nederland b.v
Action Nederland B.V.	Action Nederland B.V
action non-food	action non food
Action non-food	Action non food
Action Non-Food	Action Non Food
action service	action service
Action service	Action service
Action Service	Action Service
action service chat	action service chat
Action service chat	Action service chat
Action Service Chat	Action Service Chat
action servicedesk	action servicedesk (asd)
Action servicedesk	Action servicedesk (asd)
Action Servicedesk	Action Servicedesk (Asd)
action store	action winkel
Action store	Action winkel
Action Store	Action Winkel
action values	action waarden
Action values	Action waarden
Action Values	Action Waarden
activity planning	plannen op activiteiten
Activity planning	Plannen op activiteiten
Activity Planning	Plannen Op Activiteiten
aggression and violence e-learning course	e-learning agressie en geweld
Aggression and violence e-learning course	E-learning agressie en geweld
Aggression And Violence E-Learning Course	E-Learning Agressie En Geweld
air curtain	luchtgordijn
Air curtain	Luchtgordijn
Air Curtain	Luchtgordijn
aisles	gangpaden
Aisles	Gangpaden
alarm gates	alarmpoorten
Alarm gates	Alarmpoorten
Alarm Gates	Alarmpoorten
alarm report	alarmmelding
Alarm report	Alarmmelding
Alarm Report	Alarmmelding
alarm sticker	alarmsticker
Alarm sticker	Alarmsticker
Alarm Sticker	Alarmsticker
anti-theft sticker	anti-diefstalsticker
Anti-theft sticker	Anti-diefstalsticker
Anti-Theft Sticker	Anti-Diefstalsticker
articles	artikelen
Articles	Artikelen
asd	asd
Asd	Asd
ASD	ASD
back-office	backoffice
Back-office	Backoffice
Back-Office	Backoffice
bag	tasje
Bag	Tasje
bag check	tassencontrole (uitgangscontrole)
Bag check	Tassencontrole (uitgangscontrole)
Bag Check	Tassencontrole (Uitgangscontrole)
barcode scanner	barcodescanner
Barcode scanner	Barcodescanner
Barcode Scanner	Barcodescanner
cash register	kassa
Cash register	Kassa
Cash Register	Kassa
cashier	kassamedewerker
Cashier	Kassamedewerker
checkout	kassa
Checkout	Kassa
checkout counter	kassabalie
Checkout counter	Kassabalie
Checkout Counter	Kassabalie
customer	klant
Customer	Klant
customer complaint	klacht
Customer complaint	Klacht
Customer Complaint	Klacht
customer service	klantenservice
Customer service	Klantenservice
Customer Service	Klantenservice
delivery	levering
Delivery	Levering
discount	korting
Discount	Korting
display	display
Display	Display
distribution center	distributiecentrum
Distribution center	Distributiecentrum
Distribution Center	Distributiecentrum
employee	medewerker
Employee	Medewerker
floor manager	vloermanager
Floor manager	Vloermanager
Floor Manager	Vloermanager
helpdesk	helpdesk
Helpdesk	Helpdesk
incident	incident
Incident	Incident
inventory	voorraad
Inventory	Voorraad
inventory count	voorraadtelling
Inventory count	Voorraadtelling
Inventory Count	Voorraadtelling
opening hours	openingstijden
Opening hours	Openingstijden
Opening Hours	Openingstijden
payment	betaling
Payment	Betaling
payment terminal	betaalterminal
Payment terminal	Betaalterminal
Payment Terminal	Betaalterminal
point of sale	verkooppunt
Point of sale	Verkooppunt
Point Of Sale	Verkooppunt
POS system	kassasysteem
POS System	Kassasysteem
price tag	prijskaartje
Price tag	Prijskaartje
Price Tag	Prijskaartje
product	product
Product	Product
promotion	actie
Promotion	Actie
receipt	bon
Receipt	Bon
refund	restitutie
Refund	Restitutie
replenishment	aanvulling
Replenishment	Aanvulling
return	retour
Return	Retour
sales	verkoop
Sales	Verkoop
sales floor	verkoopvloer
Sales floor	Verkoopvloer
Sales Floor	Verkoopvloer
security	beveiliging
Security	Beveiliging
security camera	beveiligingscamera
Security camera	Beveiligingscamera
Security Camera	Beveiligingscamera
service request	serviceverzoek
Service request	Serviceverzoek
Service Request	Serviceverzoek
shelf	schap
Shelf	Schap
shelves	schappen
Shelves	Schappen
shift	dienst
Shift	Dienst
shift leader	shiftleider
Shift leader	Shiftleider
Shift Leader	Shiftleider
shift manager	shiftleider
Shift manager	Shiftleider
Shift Manager	Shiftleider
shopping cart	winkelwagen
Shopping cart	Winkelwagen
Shopping Cart	Winkelwagen
special offer	speciale aanbieding
Special offer	Speciale aanbieding
Special Offer	Speciale Aanbieding
stock	voorraad
Stock	Voorraad
stock check	voorraadcontrole
Stock check	Voorraadcontrole
Stock Check	Voorraadcontrole
stockroom	magazijn
Stockroom	Magazijn
store manager	filiaalbeheerder
Store manager	Filiaalbeheerder
Store Manager	Filiaalbeheerder
team leader	teamleider
Team leader	Teamleider
Team Leader	Teamleider
ticket	ticket
Ticket	Ticket
till	kassa
Till	Kassa
warehouse	magazijn
Warehouse	Magazijn
work schedule	werkrooster
Work schedule	Werkrooster
Work Schedule	Werkrooster
